id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,VALUE_sum,Longitude,Latitude
hex_alex_centroids.234,,,,,,,-1,0,-1,,,10.659999,29.646,30.756
hex_alex_centroids.235,,,,,,,-1,0,-1,,,13.281366,29.646,30.749
hex_alex_centroids.236,,,,,,,-1,0,-1,,,11.656073,29.647,30.735
hex_alex_centroids.237,,,,,,,-1,0,-1,,,2.738229,29.647,30.729
hex_alex_centroids.238,,,,,,,-1,0,-1,,,5.173796,29.647,30.722
hex_alex_centroids.239,,,,,,,-1,0,-1,,,0.611852,29.647,30.715
hex_alex_centroids.240,,,,,,,-1,0,-1,,,0.001866,29.648,30.702
hex_alex_centroids.241,,,,,,,-1,0,-1,,,0.142374,29.648,30.695
hex_alex_centroids.242,,,,,,,-1,0,-1,,,47.777786,29.644,31.035
hex_alex_centroids.243,,,,,,,-1,0,-1,,,95.278763,29.643,31.029
hex_alex_centroids.244,,,,,,,-1,0,-1,,,680.536438,29.643,31.023
hex_alex_centroids.245,,,,,,,-1,0,-1,,,493.49823,29.644,31.009
hex_alex_centroids.246,,,,,,,-1,0,-1,,,0.820346,29.644,31.002
hex_alex_centroids.247,,,,,,,-1,0,-1,,,0.060948,29.644,30.996
hex_alex_centroids.248,,,,,,,-1,0,-1,,,9e-06,29.645,30.989
hex_alex_centroids.249,,,,,,,-1,0,-1,,,23.879833,29.645,30.982
hex_alex_centroids.250,,,,,,,-1,0,-1,,,801.721313,29.645,30.969
hex_alex_centroids.251,,,,,,,-1,0,-1,,,260.878845,29.646,30.962
hex_alex_centroids.252,,,,,,,-1,0,-1,,,147.756165,29.646,30.955
hex_alex_centroids.253,,,,,,,-1,0,-1,,,120.98819,29.646,30.948
hex_alex_centroids.254,,,,,,,-1,0,-1,,,150.81546,29.646,30.935
hex_alex_centroids.255,,,,,,,-1,0,-1,,,113.028053,29.647,30.928
hex_alex_centroids.256,,,,,,,-1,0,-1,,,15.626008,29.647,30.921
hex_alex_centroids.257,,,,,,,-1,0,-1,,,20.863026,29.647,30.915
hex_alex_centroids.258,,,,,,,-1,0,-1,,,3.2e-05,29.648,30.901
hex_alex_centroids.259,,,,,,,-1,0,-1,,,1.5e-05,29.648,30.894
hex_alex_centroids.260,,,,,,,-1,0,-1,,,0.145822,29.648,30.888
hex_alex_centroids.261,,,,,,,-1,0,-1,,,5e-06,29.648,30.881
hex_alex_centroids.262,,,,,,,-1,0,-1,,,13.147439,29.649,30.861
hex_alex_centroids.263,,,,,,,-1,0,-1,,,97.677185,29.649,30.854
hex_alex_centroids.264,,,,,,,-1,0,-1,,,0.440547,29.65,30.82
hex_alex_centroids.265,,,,,,,-1,0,-1,,,326.911621,29.651,30.813
hex_alex_centroids.266,,,,,,,-1,0,-1,,,107.85659,29.652,30.786
hex_alex_centroids.267,,,,,,,-1,0,-1,,,64.080391,29.652,30.78
hex_alex_centroids.268,,,,,,,-1,0,-1,,,590.054565,29.652,30.773
hex_alex_centroids.269,,,,,,,-1,0,-1,,,38.951679,29.653,30.759
hex_alex_centroids.270,,,,,,,-1,0,-1,,,9.717796,29.653,30.753
hex_alex_centroids.271,,,,,,,-1,0,-1,,,6.594148,29.653,30.746
hex_alex_centroids.272,,,,,,,-1,0,-1,,,0.090293,29.653,30.739
hex_alex_centroids.273,,,,,,,-1,0,-1,,,0.004866,29.654,30.732
hex_alex_centroids.274,,,,,,,-1,0,-1,,,0.779397,29.654,30.719
hex_alex_centroids.275,,,,,,,-1,0,-1,,,3.030731,29.654,30.712
hex_alex_centroids.276,,,,,,,-1,0,-1,,,0.009139,29.654,30.705
hex_alex_centroids.277,,,,,,,-1,0,-1,,,1e-06,29.656,30.651
